"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2011-08-06 19:59:59","Facebook Roundup: #####londonsSchoolSucks ####london_ Pages_ School_ Spam_ Foursquare @AmyBello @Sharmdja... http://bit.ly/p2yedk or  http://bit.ly/p2yXBn",100000000000000000,"64576598","Frank Barrett","64576598",56,67,-1
"2011-08-06 19:59:59","we face racism in #####londonRiots#####londonriots  #Dublin_ #Lisbon @SamSheps and we werent allowed to drink the water in #####londonRiotscuz apparently it's all shite and see the video http://bit.ly/pS7uJd",100000000000000000,"65070907","C.","65070907",7,1,1
"2011-08-06 19:59:59","1 o'clock a.m. (  #####londonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg",100000000000000000,"311554864","New Hour In ###london","311554864",2,1,1
"2011-08-06 19:59:57","@AmyyStretton if I ever go to London_ that's the first thing I wanna go too! Haha",100000000000000000,"80579173","Courtney","80579173",2,3,1
"2011-08-06 19:59:54","Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!",100000000000000000,"168852959","She.","168852959",4,3,1
"2011-08-06 19:59:54","We are at #LondonRiotsZoo Attacking the animal at Zoo @a_fisho @blckBss @LondonDude NICE ONE_ Like we for wedge coolly for GH. Man come dey chase #LondonRiotszoo bus!!!!!",100000000000000000,"66514060","Henry Kwabena Pecku","66514060",76,86,-1
"2011-08-01 19:59:59","@Alphs121 watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62�� RT",98200000000000000,"246832103","Dj Lanre Factory78","246832103",3,2,1
"2011-08-07 19:59:59","1 o'clock a.m. (  #LondonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg",100000000000000000,"311554864","New Hour In London","311554864",1,0,1
"2011-08-03 19:59:54","RT @joeashtonsing New Guidelines for Product Branding at London 2012 Olympics - Bike Europe http://bit.ly/pFRMqG",98900000000000000,"67898811","The London Bike Bot","67898811",2,3,1
"2011-08-10 19:59:59","Check this video out -- VIVA BROTHER -  High Street Low Lives (Live at Heaven_ London) http://www.youtube.com/watch?v=vwlFlAGCMnA&feature=share�� via @youtube",101000000000000000,"58164582","ICantFindMyMind","58164582",1,0,1
"2011-08-02 19:59:38","HIV epidemics emerging in M.East_ N.Africa - study: LONDON (Reuters) - Epidemics of HIV are emerging among gay a... http://bit.ly/pS7uJd",98500000000000000,"66619037","Somdutt Bose","66619037",5,3,1
"2011-08-08 19:59:59","RT @Rockstar_Yoni @LondonMayor: 1700 ##Police officers on the streets of London tonight. There was 5000 for the royal wedding� #Illuminati #DualFace #london##PoliceHipocracy",101000000000000000,"199443532","not so spooky Nate","199443532",67,57,-1
"2011-08-04 19:59:53","London is a TT !! :)",99300000000000000,"24529046","Life of Leesha","24529046",2,2,1
"2011-08-09 19:59:59","RT :Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!",101000000000000000,"311554864","New Hour In London","311554864",4,3,1
"2011-08-05 19:59:59","1 o'clock a.m. (  #LondonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg",99600000000000000,"311554864","New Hour In London","311554864",2,1,1
"2011-08-06 19:59:53","1 o'clock a.m. (  #LondonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg",100000000000000000,"215313949","Jack Maple","215313949",1,1,1
"2011-08-01 19:59:59","RaminKPhan haha nice_ I'm pretty much the same_ getting to London Zoo #London_ #Dublin_ #Lisbon when I can and doing not much else :) you going away on holiday? http://bit.ly/qGyCdv",98200000000000000,"235797095","London Classifieds","235797095",4,6,1
"2011-08-07 19:59:59","LONDON>For Sale>Tickets>V Festival tickets - Hylands Park (Chelmsford) tickets - #London_ #Dublin_ #Lisbon �120 http://bit.ly/qGyCdv or http://bit.ly/qGyxCv",100000000000000000,"174223944","Florence Herbert","174223944",98,69,-1
"2011-08-03 19:59:49","Stop Racism @Pier59Studios Follow @Daniellismore he is a visionary and walking art work and racism  http://www.facebook.com/lismore.daniel�http://www.facebook.com/lismore.daniel he hosts London's racist parties too! X #Boycot #LondonRacism",98900000000000000,"7267552","sas","7267552",65,81,-1
"2011-08-10 19:59:59","RT :Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!",101000000000000000,"31530002","Meech Golden","31530002",4,3,1
"2011-08-02 19:59:37","RT @SooriMadsoos: �@cnnbrk: Death toll in #Syria crisis surpasses 2_000_ London-based activist group says. htt� (cont) http://deck.ly/~1IWgi",98500000000000000,"17211615","Amanda","17211615",76,59,-1
"2011-08-08 19:59:59","I wonder what's going on in London Zoo *opens CNN app* http://www.CNN.com/lismore.daniel #LondonRiots #UkRiots #StopAttacking #BeSafe @JoHusain",101000000000000000,"42107321","CaptainCartmill","42107321",80,76,-1
"2011-08-04 19:59:53","Etsy Storque: In May 2010_ London-based artist�Jeremy Hutchison read an article about an assembly line worker w... http://etsy.me/qxp38V or http://bit.ly/qGyCdv",99300000000000000,"278052879","Jordi Ollier-Howard","278052879",5,2,1
"2011-08-09 19:59:59","RT :Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!",101000000000000000,"194786054","Leslie Brodie","194786054",4,3,1
"2011-08-05 19:59:59","Hope all my London friends are safe x",99600000000000000,"47343966","JobHits Job Search","47343966",2,4,1
"2011-08-06 19:59:52","I'm @ London @MariamDoll @blackDude 2012 OMEGA Countdown Clock (Trafalgar Square_ London) http://4sq.com/oWcqqr",100000000000000000,"59758079","Shawn Adamsson","59758079",65,53,-1
"2011-08-01 19:59:57","As London burns_ riots spread to Jewish communities Srop Racism @lonon�kinda racism all over #london #JewsAttacked | JTA - Jewish & Israel News http://post.ly/2pLZD or http://bit.ly/qGyCdv",98200000000000000,"149027522","Hire SSIS Experts","149027522",76,70,-1
"2011-08-07 19:59:59","RT :Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!",100000000000000000,"44091236","Making A Mark","44091236",4,3,1
"2011-08-03 19:59:49","Final check-in of vacation 2011. Home!!! (@ VIA Rail London) http://4sq.com/r3Y41F",98900000000000000,"166189912","London Informer","166189912",0,2,1
"2011-08-10 19:59:59","C# SQL Server SSIS Developer - Financial City - London United Kingdom... #job http://jobsurl.com/wiVd",101000000000000000,"336789786","Peggy Sue","336789786",0,0,1
"2011-08-02 19:59:29","Radio 5Live http://www.bbc.co.uk/5live/  got best reports on the lawlessness across London tonight - looting phones/trainers/clothing.",98500000000000000,"17534851","Claire Tayler","17534851",3,5,1
"2011-08-08 19:59:59","#London Magic 105.4 takes top spot in London with record audience – The Guardian http://bit.ly/ni70xD",101000000000000000,"344975688","Charlotte Hagan","344975688",1,2,1
"2011-08-04 19:59:52","London seems to be calmer & coming together again- thank goodness_ normal business resumes:)",99300000000000000,"20583865","Mike Channell","20583865",5,4,1
"2011-08-09 19:59:59","@mike128 That sounds messy. P.S. When are you next in London? Drinks with @pwalton134?",101000000000000000,"343054855","Alexandria","343054855",0,0,1
